Subject	Date	Version	Block	BlockCondition	Problem	ACC	CorrRT	AllRT
37061	2/10/2017	RavenStimv2	3	ShamMFG	Rel3	0.6666666667	10645.00	11072.00
37063	3/6/2017	RavenStimv3	3	StimIPG	Rel3	0.6666666667	22881.50	26254.00
37064	3/13/2017	RavenStimv3	3	ShamIPG	Rel3	0.6666666667	27427.50	24610.33
37065	3/16/2017	RavenStimv2	3	ShamMFG	Rel3	0.3333333333	8743.00	9212.00
37066	4/10/2017	RavenStimv2	3	ShamMFG	Rel3	0.3333333333	37641.00	19836.00
37067	4/12/2017	RavenStimv4	3	StimMFG	Rel3	0.6666666667	9649.00	12780.33
37068	4/14/2017	RavenStimv4	3	StimMFG	Rel3	1	23415.33	23415.33
37041	10/12/2016	RavenStimv2	4	ShamIPG	Rel3	1	22083.00	22083.00
37042	10/19/2016	RavenStimv2	4	StimIPG	Rel3	1	17525.67	17525.67
37043	10/21/2016	RavenStimv2	4	ShamMFG	Rel3	1	19399.33	19399.33
37045	10/27/2016	RavenStimv1	4	ShamIPG	Rel3	0.6666666667	22984.50	20656.67
37047	11/2/2016	RavenStimv1	4	ShamMFG	Rel3	1	11465.67	11465.67
37048	11/3/2016	RavenStimv1	4	StimMFG	Rel3	1	19858.33	19858.33
37049	11/4/2016	RavenStimv3	4	ShamIPG	Rel3	0.6666666667	19983.50	17004.67
37050	11/9/2016	RavenStimv3	4	StimIPG	Rel3	0.6666666667	11376.00	14347.00
37052	11/23/2016	RavenStimv3	4	ShamMFG	Rel3	0.6666666667	11256.00	13969.33
37053	11/30/2016	RavenStimv3	4	StimMFG	Rel3	1	15496.67	15496.67
37054	12/1/2016	RavenStimv4	4	ShamIPG	Rel3	1	14967.00	14967.00
37056	1/17/2017	RavenStimv4	4	StimIPG	Rel3	0.6666666667	18261.50	15126.00
37057	1/25/2017	RavenStimv4	4	ShamMFG	Rel3	1	22549.00	22549.00
37058	1/31/2017	RavenStimv4	4	StimMFG	Rel3	1	13337.67	13337.67
37059	2/3/2017	RavenStimv1	4	StimIPG	Rel3	1	29024.33	29024.33
37061	2/10/2017	RavenStimv2	4	StimMFG	Rel3	1	27329.67	27329.67
37063	3/6/2017	RavenStimv3	4	ShamIPG	Rel3	1	32419.00	32419.00
37064	3/13/2017	RavenStimv3	4	StimIPG	Rel3	1	28021.67	28021.67
37065	3/16/2017	RavenStimv2	4	StimMFG	Rel3	1	25852.67	25852.67
37066	4/10/2017	RavenStimv2	4	StimMFG	Rel3	0.3333333333	19728.00	27478.00
37067	4/12/2017	RavenStimv4	4	ShamMFG	Rel3	0	0.00	15606.00
37068	4/14/2017	RavenStimv4	4	ShamMFG	Rel3	0.6666666667	21219.50	20853.67
37041	10/12/2016	RavenStimv2	1	StimMFG	Logic	0.3333333333	25561.00	23104.00
37042	10/19/2016	RavenStimv2	1	ShamMFG	Logic	0.3333333333	20951.00	23326.33
37043	10/21/2016	RavenStimv2	1	StimIPG	Logic	1	48326.67	48326.67
37045	10/27/2016	RavenStimv1	1	StimMFG	Logic	0	0.00	41787.33
37047	11/2/2016	RavenStimv1	1	StimIPG	Logic	1	13308.67	13308.67
37048	11/3/2016	RavenStimv1	1	ShamIPG	Logic	0.6666666667	19161.00	20656.67
37049	11/4/2016	RavenStimv3	1	StimMFG	Logic	0.3333333333	7323.00	6716.33
37050	11/9/2016	RavenStimv3	1	ShamMFG	Logic	0	0.00	24014.00
37052	11/23/2016	RavenStimv3	1	StimIPG	Logic	0.3333333333	19602.00	15855.00
37053	11/30/2016	RavenStimv3	1	ShamIPG	Logic	0.6666666667	37983.50	30567.00
37054	12/1/2016	RavenStimv4	1	StimMFG	Logic	0.3333333333	7721.00	17898.67
37056	1/17/2017	RavenStimv4	1	ShamMFG	Logic	1	16940.00	16940.00
37057	1/25/2017	RavenStimv4	1	StimIPG	Logic	0	0.00	22478.00
37058	1/31/2017	RavenStimv4	1	ShamIPG	Logic	0.6666666667	18649.50	19643.00
37059	2/3/2017	RavenStimv1	1	ShamMFG	Logic	0.3333333333	41154.00	41241.00
37061	2/10/2017	RavenStimv2	1	ShamIPG	Logic	0.3333333333	24859.00	28251.00
37063	3/6/2017	RavenStimv3	1	StimMFG	Logic	0.3333333333	27972.00	55435.67
37064	3/13/2017	RavenStimv3	1	ShamMFG	Logic	0.6666666667	22099.00	26607.67
37065	3/16/2017	RavenStimv2	1	ShamIPG	Logic	0	0.00	63181.33
37066	4/10/2017	RavenStimv2	1	ShamIPG	Logic	0.6666666667	30070.00	46810.33
37067	4/12/2017	RavenStimv4	1	StimIPG	Logic	0	0.00	33743.33
37068	4/14/2017	RavenStimv4	1	StimIPG	Logic	1	12766.33	12766.33
