TICKS, POS-REWARD, NEG-REWARD, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT
20.0, 2.0, -1.5, 1.0, 1.0, 10.0, 0.6666667, 8.543
20.0, 2.0, -1.5, 1.0, 2.0, 1.0, 1.0, 5.595333
20.0, 2.0, -1.5, 1.0, 2.0, 2.0, 0.6666667, 5.5916667
20.0, 2.0, -1.5, 1.0, 2.0, 5.0, 0.6666667, 5.7896667
20.0, 2.0, -1.5, 1.0, 2.0, 10.0, 0.6666667, 5.5750003
20.0, 2.0, -1.5, 1.0, 5.0, 1.0, 0.33333334, 5.5749993
20.0, 2.0, -1.5, 1.0, 5.0, 2.0, 0.6666667, 5.611666
20.0, 2.0, -1.5, 1.0, 5.0, 5.0, 1.0, 5.5769997
20.0, 2.0, -1.5, 1.0, 5.0, 10.0, 0.33333334, 5.787334
20.0, 2.0, -1.5, 1.0, 10.0, 1.0, 0.6666667, 5.5416665
20.0, 2.0, -1.5, 1.0, 10.0, 2.0, 1.0, 5.6043334
20.0, 2.0, -1.5, 1.0, 10.0, 5.0, 0.33333334, 5.589667
20.0, 2.0, -1.5, 1.0, 10.0, 10.0, 0.6666667, 5.83
20.0, 2.0, -1.5, 2.0, 1.0, 1.0, 0.33333334, 10.568333
20.0, 2.0, -1.5, 2.0, 1.0, 2.0, 0.33333334, 5.5750003
20.0, 2.0, -1.5, 2.0, 1.0, 5.0, 0.33333334, 7.008
20.0, 2.0, -1.5, 2.0, 1.0, 10.0, 0.6666667, 5.5916667
20.0, 2.0, -1.5, 2.0, 2.0, 1.0, 0.33333334, 5.579333
20.0, 2.0, -1.5, 2.0, 2.0, 2.0, 0.6666667, 5.587667
20.0, 2.0, -1.5, 2.0, 2.0, 5.0, 0.0, 5.829334
20.0, 2.0, -1.5, 2.0, 2.0, 10.0, 0.0, 5.558333
20.0, 2.0, -1.5, 2.0, 5.0, 1.0, 0.6666667, 5.5626664
20.0, 2.0, -1.5, 2.0, 5.0, 2.0, 0.33333334, 5.5750003
20.0, 2.0, -1.5, 2.0, 5.0, 5.0, 0.0, 5.5973334
20.0, 2.0, -1.5, 2.0, 5.0, 10.0, 0.33333334, 5.596667
20.0, 2.0, -1.5, 2.0, 10.0, 1.0, 0.33333334, 6.225
20.0, 2.0, -1.5, 2.0, 10.0, 2.0, 0.0, 5.806
20.0, 2.0, -1.5, 2.0, 10.0, 5.0, 1.0, 5.5749993
20.0, 2.0, -1.5, 2.0, 10.0, 10.0, 0.33333334, 5.586666
20.0, 2.0, -1.5, 3.0, 1.0, 1.0, 0.33333334, 5.8250003
20.0, 2.0, -1.5, 3.0, 1.0, 2.0, 0.33333334, 5.536333
20.0, 2.0, -1.5, 3.0, 1.0, 5.0, 1.0, 9.251666
20.0, 2.0, -1.5, 3.0, 1.0, 10.0, 0.0, 5.5750003
20.0, 2.0, -1.5, 3.0, 2.0, 1.0, 0.33333334, 5.5750003
20.0, 2.0, -1.5, 3.0, 2.0, 2.0, 0.0, 5.558334
20.0, 2.0, -1.5, 3.0, 2.0, 5.0, 1.0, 5.5750003
20.0, 2.0, -1.5, 3.0, 2.0, 10.0, 0.6666667, 5.5916667
20.0, 2.0, -1.5, 3.0, 5.0, 1.0, 0.6666667, 5.5750003
20.0, 2.0, -1.5, 3.0, 5.0, 2.0, 0.6666667, 5.5916667
20.0, 2.0, -1.5, 3.0, 5.0, 5.0, 0.6666667, 5.5749993
20.0, 2.0, -1.5, 3.0, 5.0, 10.0, 1.0, 5.831
20.0, 2.0, -1.5, 3.0, 10.0, 1.0, 0.6666667, 5.575333
20.0, 2.0, -1.5, 3.0, 10.0, 2.0, 0.0, 5.591667
20.0, 2.0, -1.5, 3.0, 10.0, 5.0, 0.6666667, 5.5819993
20.0, 2.0, -1.5, 3.0, 10.0, 10.0, 0.33333334, 6.2083335
20.0, 2.0, -1.5, 4.0, 1.0, 1.0, 0.0, 6.810667
20.0, 2.0, -1.5, 4.0, 1.0, 2.0, 1.0, 5.579
20.0, 2.0, -1.5, 4.0, 1.0, 5.0, 0.0, 9.238667
20.0, 2.0, -1.5, 4.0, 1.0, 10.0, 0.33333334, 7.0843334
20.0, 2.0, -1.5, 4.0, 2.0, 1.0, 0.33333334, 5.5750003
20.0, 2.0, -1.5, 4.0, 2.0, 2.0, 1.0, 6.0083337
20.0, 2.0, -1.5, 4.0, 2.0, 5.0, 1.0, 5.580667
20.0, 2.0, -1.5, 4.0, 2.0, 10.0, 0.33333334, 5.5623336
20.0, 2.0, -1.5, 4.0, 5.0, 1.0, 0.6666667, 5.601667
20.0, 2.0, -1.5, 4.0, 5.0, 2.0, 0.33333334, 6.2250004
20.0, 2.0, -1.5, 4.0, 5.0, 5.0, 0.33333334, 5.623667
20.0, 2.0, -1.5, 4.0, 5.0, 10.0, 0.0, 5.558333
20.0, 2.0, -1.5, 4.0, 10.0, 1.0, 0.33333334, 6.2083325
20.0, 2.0, -1.5, 4.0, 10.0, 2.0, 0.33333334, 5.5749993
20.0, 2.0, -1.5, 4.0, 10.0, 5.0, 0.0, 5.5749993
20.0, 2.0, -1.5, 4.0, 10.0, 10.0, 0.33333334, 5.7923336
20.0, 2.0, -2.0, 1.0, 1.0, 1.0, 0.33333334, 5.6083336
20.0, 2.0, -2.0, 1.0, 1.0, 2.0, 0.6666667, 5.598334
20.0, 2.0, -2.0, 1.0, 1.0, 5.0, 0.6666667, 5.5916667
20.0, 2.0, -2.0, 1.0, 1.0, 10.0, 0.6666667, 5.638
20.0, 2.0, -2.0, 1.0, 2.0, 1.0, 0.33333334, 6.037334
20.0, 2.0, -2.0, 1.0, 2.0, 2.0, 0.0, 5.5916667
20.0, 2.0, -2.0, 1.0, 2.0, 5.0, 0.6666667, 5.5750003
20.0, 2.0, -2.0, 1.0, 2.0, 10.0, 0.6666667, 5.5916667
20.0, 2.0, -2.0, 1.0, 5.0, 1.0, 0.6666667, 5.6006665
20.0, 2.0, -2.0, 1.0, 5.0, 2.0, 0.33333334, 5.6083336
20.0, 2.0, -2.0, 1.0, 5.0, 5.0, 0.33333334, 5.841333
20.0, 2.0, -2.0, 1.0, 5.0, 10.0, 0.0, 5.601667
20.0, 2.0, -2.0, 1.0, 10.0, 1.0, 0.6666667, 5.558333
20.0, 2.0, -2.0, 1.0, 10.0, 2.0, 1.0, 5.5916667
20.0, 2.0, -2.0, 1.0, 10.0, 5.0, 1.0, 5.800667
20.0, 2.0, -2.0, 1.0, 10.0, 10.0, 0.6666667, 5.5416665
20.0, 2.0, -2.0, 2.0, 1.0, 1.0, 0.6666667, 5.5940003
20.0, 2.0, -2.0, 2.0, 1.0, 2.0, 0.0, 5.613333
20.0, 2.0, -2.0, 2.0, 1.0, 5.0, 0.33333334, 5.5916667
20.0, 2.0, -2.0, 2.0, 1.0, 10.0, 1.0, 16.315
20.0, 2.0, -2.0, 2.0, 2.0, 1.0, 0.33333334, 6.0099998
20.0, 2.0, -2.0, 2.0, 2.0, 2.0, 0.33333334, 5.615
20.0, 2.0, -2.0, 2.0, 2.0, 5.0, 0.6666667, 5.558333
20.0, 2.0, -2.0, 2.0, 2.0, 10.0, 0.33333334, 5.5783334
20.0, 2.0, -2.0, 2.0, 5.0, 1.0, 0.0, 5.558334
20.0, 2.0, -2.0, 2.0, 5.0, 2.0, 0.6666667, 5.5750003
20.0, 2.0, -2.0, 2.0, 5.0, 5.0, 0.6666667, 5.7999997
20.0, 2.0, -2.0, 2.0, 5.0, 10.0, 0.6666667, 6.0083337
20.0, 2.0, -2.0, 2.0, 10.0, 1.0, 0.33333334, 5.581333
20.0, 2.0, -2.0, 2.0, 10.0, 2.0, 1.0, 5.5749993
20.0, 2.0, -2.0, 2.0, 10.0, 5.0, 0.33333334, 5.576
20.0, 2.0, -2.0, 2.0, 10.0, 10.0, 0.6666667, 6.008333
20.0, 2.0, -2.0, 3.0, 1.0, 1.0, 0.33333334, 5.565666
20.0, 2.0, -2.0, 3.0, 1.0, 2.0, 1.0, 5.817333
20.0, 2.0, -2.0, 3.0, 1.0, 5.0, 1.0, 7.998333
20.0, 2.0, -2.0, 3.0, 1.0, 10.0, 0.6666667, 9.301666
20.0, 2.0, -2.0, 3.0, 2.0, 1.0, 0.33333334, 5.558334
20.0, 2.0, -2.0, 3.0, 2.0, 2.0, 0.6666667, 5.5750003
20.0, 2.0, -2.0, 3.0, 2.0, 5.0, 0.33333334, 5.5416675
20.0, 2.0, -2.0, 3.0, 2.0, 10.0, 0.6666667, 7.247667
20.0, 2.0, -2.0, 3.0, 5.0, 1.0, 0.6666667, 5.5750003
20.0, 2.0, -2.0, 3.0, 5.0, 2.0, 0.6666667, 6.2250004
20.0, 2.0, -2.0, 3.0, 5.0, 5.0, 0.33333334, 5.6030006
20.0, 2.0, -2.0, 3.0, 5.0, 10.0, 1.0, 5.8053327
20.0, 2.0, -2.0, 3.0, 10.0, 1.0, 0.6666667, 5.5916667
